comment,qos,transid,city,ssid,encryption,wep,bcninterval,dhcp,type,channel,trilong,paynet,userfound,housenumber,lasttime,firsttime,name,lastupdt,country,region,netid,freenet,trilat,road
,2,20150425-00000,,CAPADEBOMBA,wep,Y,0,?,infra,3,9.11927032,?,False,,2016-12-26T23:00:00.000Z,2015-04-26T05:00:00.000Z,,2016-12-26T23:00:00.000Z,IT,LOM,00:11:95:A0:87:CA,?,45.42094803,Piazza San Biagio
,0,20120116-00000,Monza,SpeedTouch602271,wpa,W,0,?,infra,1,9.2465601,?,False,,2012-01-16T12:00:00.000Z,2012-01-17T16:00:00.000Z,,2012-01-16T10:00:00.000Z,IT,LOM,00:11:F5:7D:3A:46,?,45.57147598,Strada Statale 36 del lago di Como e dello Spluga
,2,20150410-00000,Milano,giovanni57,wpa2,2,0,?,infra,6,9.22112846,?,False,143,2016-05-17T13:00:00.000Z,2015-03-19T08:00:00.000Z,,2016-05-17T13:00:00.000Z,IT,LOM,00:11:50:41:DC:9E,?,45.50094604,Viale Monza
,7,20050905-00000,Milano,mega,wpa,W,0,?,infra,1,9.21744919,?,False,,2015-01-17T15:00:00.000Z,2001-01-01T00:00:00.000Z,,2015-01-17T13:00:00.000Z,IT,LOM,00:11:D8:EA:E2:55,?,45.48480988,Viale Abruzzi
,1,20110520-00000,Milano,ALESGR-WIFI2,wpa,W,0,?,infra,11,9.19458008,?,False,9,2011-05-24T17:00:00.000Z,2011-05-20T09:00:00.000Z,,2011-05-24T15:00:00.000Z,IT,LOM,00:11:95:DB:9F:C0,?,45.47521591,Via Filippo Turati
,0,20110219-00000,Milano,BUNKER75,wpa,W,0,?,infra,11,9.18444157,?,False,1,2011-02-19T12:00:00.000Z,2011-02-19T17:00:00.000Z,,2011-02-19T10:00:00.000Z,IT,LOM,00:11:50:3C:B4:07,?,45.47788239,Largo La Foppa
,0,20120319-00000,Milano,belkin54g,wep,Y,0,?,infra,3,9.22050571,?,False,28,2012-03-19T04:00:00.000Z,2012-03-19T10:00:00.000Z,,2012-03-19T02:00:00.000Z,IT,LOM,00:11:50:3C:B4:61,?,45.47906876,Via Sansovino
,0,20100405-00000,Milano,Emma,wpa,W,0,?,infra,3,9.22777367,?,False,,2010-04-10T06:00:00.000Z,2010-04-06T00:00:00.000Z,,2010-09-13T13:00:00.000Z,IT,LOM,00:11:50:3C:B4:B1,?,45.4860611,Via Accademia
,0,20100825-00000,,SpeedTouch7B4986,unknown,?,0,?,,1,9.22389126,?,False,,2010-08-25T02:00:00.000Z,2010-08-25T07:00:00.000Z,,2010-08-25T11:00:00.000Z,IT,LOM,00:11:F5:9A:5B:8E,?,45.3591156,Via Martiri della Libertà
,7,20090803-00000,Milano,Il Tirolo a Milano,wpa2,2,0,?,infra,11,9.17176056,?,False,,2016-08-21T22:00:00.000Z,2001-01-01T00:00:00.000Z,,2016-08-21T22:00:00.000Z,IT,LOM,00:11:D8:43:88:84,?,45.45562363,Via Francesco Carchidio
,2,20130220-00000,Milano,La_Rete_Dei_Maiali,wep,Y,0,?,infra,1,9.183465,?,False,22,2013-06-11T07:00:00.000Z,2013-02-20T16:00:00.000Z,,2013-06-11T05:00:00.000Z,IT,LOM,00:11:D8:97:DD:2D,?,45.43573761,Via Volvinio
,0,20130914-00000,Milano,tsunami,wep,Y,0,?,infra,4,9.13797569,?,False,,2013-09-14T00:00:00.000Z,2013-09-14T07:00:00.000Z,,2013-09-13T22:00:00.000Z,IT,LOM,00:12:7F:84:67:10,?,45.50930023,Via Eritrea
,3,20130830-00000,Milano,linkem,none,N,0,?,infra,11,9.14750004,?,False,,2013-12-05T11:00:00.000Z,2013-08-30T15:00:00.000Z,,2013-12-05T09:00:00.000Z,IT,LOM,00:12:7F:8B:3A:C0,?,45.49235153,Via Pietro Gassendi
,0,20111222-00000,,sipi,wep,Y,0,?,infra,13,9.14629459,?,False,,2011-12-22T13:00:00.000Z,2011-12-05T17:00:00.000Z,,2011-12-22T11:00:00.000Z,IT,LOM,00:12:80:E1:9C:90,?,45.53367233,Via Brodolini
,0,20120321-00000,Milano,G604T_WIRELESS_LU,wpa,W,0,?,infra,6,9.20078564,?,False,,2012-03-21T09:00:00.000Z,2012-03-21T13:00:00.000Z,,2012-03-21T07:00:00.000Z,IT,LOM,00:11:95:A0:8A:86,?,45.50689316,Viale Fulvio Testi
,1,20110714-00000,Milano,niki4,wpa,W,0,?,infra,4,9.19591904,?,False,11,2011-08-23T01:00:00.000Z,2011-07-14T08:00:00.000Z,,2011-08-22T23:00:00.000Z,IT,LOM,00:11:D8:70:23:AE,?,45.47903061,Piazza della Repubblica
,0,20120124-00000,Milano,232315,wpa2,2,0,?,infra,6,9.19330406,?,False,25,2012-01-24T15:00:00.000Z,2012-01-24T19:00:00.000Z,,2012-01-24T13:00:00.000Z,IT,LOM,00:11:95:F0:84:77,?,45.45100784,Viale Bligny
,0,20130825-00000,Milano,WifiHotelCavour,none,N,0,?,infra,4,9.19431114,?,False,34,2013-08-30T18:00:00.000Z,2013-08-25T21:00:00.000Z,,2013-08-30T16:00:00.000Z,IT,LOM,00:11:A3:1B:DF:17,?,45.47260666,Via Fatebenefratelli
,0,20130825-00000,Milano,WifiHotelCavour,none,N,0,?,infra,2,9.19424629,?,False,34,2013-08-30T18:00:00.000Z,2013-08-25T21:00:00.000Z,,2013-08-30T16:00:00.000Z,IT,LOM,00:11:A3:1B:DF:32,?,45.47261429,Via Fatebenefratelli
,0,20150308-00000,Milano,WifiHotelCavour,unknown,?,0,?,infra,4,9.19496536,?,False,,2015-03-08T23:00:00.000Z,2015-03-08T23:00:00.000Z,,2015-03-08T21:00:00.000Z,IT,LOM,00:11:A3:1C:09:31,?,45.47232819,Via Alessandro Manzoni
,0,20160618-00000,Milano,WifiHotelCavour,unknown,?,0,?,infra,9,9.19419575,?,False,34,2016-06-18T07:00:00.000Z,2016-06-18T13:00:00.000Z,,2016-06-18T07:00:00.000Z,IT,LOM,00:11:A3:1C:09:3D,?,45.47256088,Via Fatebenefratelli
,5,20121212-00000,Milano,NETW01,wpa,W,0,?,infra,6,9.21119118,?,False,16,2014-12-13T13:00:00.000Z,2012-12-12T17:00:00.000Z,,2014-12-13T11:00:00.000Z,IT,LOM,00:11:95:EE:B4:50,?,45.48477936,Via Giovanni Battista Pergolesi
,0,20120416-00000,,StarGate,wep,Y,0,?,infra,6,9.10625744,?,False,,2012-04-16T11:00:00.000Z,2012-04-16T07:00:00.000Z,,2012-04-16T09:00:00.000Z,IT,LOM,00:11:95:CF:3F:9A,?,45.54159164,Via Repubblica
,0,20120810-00000,Milano,Trucco_WiFi,wpa,W,0,?,infra,6,9.18067074,?,False,26,2012-08-10T00:00:00.000Z,2012-08-10T07:00:00.000Z,,2012-08-09T22:00:00.000Z,IT,LOM,00:11:95:BF:56:32,?,45.47161484,Piazza Castello
,0,20120603-00000,Milano,personeorribili,wpa2,2,0,?,infra,6,9.18631649,?,False,4,2012-06-03T14:00:00.000Z,2012-06-02T19:00:00.000Z,,2012-06-03T12:00:00.000Z,IT,LOM,00:11:95:F1:0D:03,?,45.45500565,Via Cosimo del Fante
,0,20160104-00000,Milano,prada.org,wpa2,2,0,?,infra,6,9.21152878,?,False,,2016-01-04T06:00:00.000Z,2016-01-04T15:00:00.000Z,,2016-01-04T06:00:00.000Z,IT,LOM,00:11:92:F6:EE:B3,?,45.45615387,Via Cadore
,4,20120619-00000,Milano,Fontanili11a,wpa2,2,0,?,infra,6,9.19174004,?,False,,2013-02-26T08:00:00.000Z,2012-06-19T08:00:00.000Z,,2013-02-26T06:00:00.000Z,IT,LOM,00:12:0E:36:33:1D,?,45.4411087,Via dei Fontanili
,0,20140209-00000,,ciemme,wep,Y,0,?,infra,2,9.14834976,?,False,,2014-02-09T16:00:00.000Z,2014-02-09T23:00:00.000Z,,2014-02-09T14:00:00.000Z,IT,LOM,00:12:0E:36:33:BF,?,45.38673019,Via Mantova
,0,20140127-00000,Milano,BancaEtica,wpa,W,0,?,infra,11,9.18905926,?,False,,2014-01-27T12:00:00.000Z,2014-01-27T10:00:00.000Z,,2014-01-27T10:00:00.000Z,IT,LOM,00:12:0E:47:D3:43,?,45.46819305,Via Giuseppe Verdi
,2,20110908-00000,Milano,BIANCA,wpa2,2,0,?,infra,4,9.20629025,?,False,3,2012-12-12T06:00:00.000Z,2011-09-08T08:00:00.000Z,,2012-12-12T04:00:00.000Z,IT,LOM,00:12:0E:48:F8:13,?,45.49106979,Viale Lunigiana
,0,20100824-00000,Milano,WireLuke,unknown,?,0,?,,6,9.20736599,?,False,84,2010-08-24T16:00:00.000Z,2010-08-24T21:00:00.000Z,,2010-08-24T14:00:00.000Z,IT,LOM,00:11:95:9E:99:96,?,45.51473999,Viale Rodi
,0,20130304-00000,Milano,G604T_WIRELESS,none,N,0,?,infra,6,9.23661995,?,False,84,2013-03-04T07:00:00.000Z,2012-02-24T10:00:00.000Z,,2013-03-04T05:00:00.000Z,IT,LOM,00:11:95:9F:03:44,?,45.48390198,Via Carlo Valvassori Peroni
,3,20061116-00000,,StiCazzi,wep,Y,0,?,,6,9.28434563,?,False,,2012-01-14T11:00:00.000Z,2001-01-01T00:00:00.000Z,,2012-01-14T09:00:00.000Z,IT,LOM,00:11:95:9F:18:5A,?,45.51171112,Via Padana Superiore
,0,20100201-00000,Milano,everyware,unknown,?,0,?,,6,9.21426296,?,False,,2010-02-01T13:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-09-15T08:00:00.000Z,IT,LOM,00:11:95:BF:53:80,?,45.45439529,no
,2,20081021-00000,Milano,philips,none,N,0,?,infra,4,9.1789341,?,False,,2010-09-20T02:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-09-20T00:00:00.000Z,IT,LOM,00:12:BF:18:D2:E2,?,45.43744278,Viale Giovanni da Cermenate
,0,20070320-00000,Milano,G604T_WIRELESS,none,N,0,?,,6,9.18799686,?,False,97,2007-03-22T01:00:00.000Z,2001-01-01T00:00:00.000Z,,2007-03-21T23:00:00.000Z,IT,LOM,00:11:95:9E:09:00,?,45.49712753,Viale Marche
,0,20100430-00000,Milano,,none,N,0,?,,6,9.21704006,?,False,27,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:11:95:9E:2D:AC,?,45.48195267,Via Nicola Piccinni
,1,20130304-00000,Milano,G604T_WIRELESS,none,N,0,?,infra,2,9.24997616,?,False,189,2013-03-04T07:00:00.000Z,2012-01-31T17:00:00.000Z,,2013-03-04T05:00:00.000Z,IT,LOM,00:11:95:9E:36:4A,?,45.50722122,Via Palmanova
,0,20100430-00000,Milano,belkin54g,none,N,0,?,,11,9.21680546,?,False,,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:12:BF:0B:89:20,?,45.48671722,
,0,20100909-00000,Milano,Studio Lorenzoni,unknown,?,0,?,,11,9.19063187,?,False,,2010-09-09T15:00:00.000Z,2010-09-09T20:00:00.000Z,,2010-09-13T09:00:00.000Z,IT,LOM,00:12:BF:0B:89:38,?,45.4933548,Viale Stelvio
,1,20130717-00000,Milano,,wpa,W,0,?,infra,140,9.11580181,?,False,,2013-08-17T08:00:00.000Z,2013-07-17T19:00:00.000Z,,2013-08-17T06:00:00.000Z,IT,LOM,00:12:BF:0F:96:E5,?,45.51730728,Expo Milano 2015 Circular Road
,0,20121218-00000,,DLINK,wpa,W,0,?,infra,6,9.17614079,?,False,,2012-12-18T12:00:00.000Z,2012-12-18T17:00:00.000Z,,2012-12-18T10:00:00.000Z,IT,LOM,00:11:95:96:9C:46,?,45.54162598,Via Giuseppe Garibaldi
,0,20100430-00000,Milano,PAGAILDEBITO,wep,Y,0,?,,6,9.23051262,?,False,,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:11:95:9B:A3:7A,?,45.48912048,Via Casoretto
,0,20100430-00000,Milano,3Com,wep,Y,0,?,,11,9.22389507,?,False,,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:12:A9:C1:E7:64,?,45.48999786,Via Ruggero Leoncavallo
,1,20131228-00000,Milano,3Com,unknown,?,0,?,infra,11,9.17845154,?,False,,2016-10-11T06:00:00.000Z,2013-12-28T16:00:00.000Z,,2016-10-11T06:00:00.000Z,IT,LOM,00:12:A9:C6:92:C2,?,45.43092346,Piazza Abbiategrasso
,4,20120311-00000,Milano,Lancaster_Reception,none,N,0,?,infra,6,9.16653633,?,False,16,2012-12-04T11:00:00.000Z,2012-02-24T14:00:00.000Z,,2013-01-14T22:00:00.000Z,IT,LOM,00:12:A9:C6:99:4A,?,45.47591019,Via Abbondio Sangiorgio
,0,20050909-00000,Milano,3Com,none,N,0,?,,11,9.24257565,?,False,,2005-09-09T10:00:00.000Z,2001-01-01T00:00:00.000Z,,2005-09-09T08:00:00.000Z,IT,LOM,00:12:A9:C6:9A:1D,?,45.47096634,Via Ortica
,1,20100403-00000,Milano,LAURA,wep,Y,0,?,infra,11,9.21906185,?,False,,2014-08-12T12:00:00.000Z,2010-04-03T17:00:00.000Z,,2014-08-12T10:00:00.000Z,IT,LOM,00:12:A9:CE:C3:F8,?,45.45768738,Via Costanza Arconati
,0,20120914-00000,Milano,Untitled,none,N,0,?,infra,11,9.18598461,?,False,,2012-09-14T07:00:00.000Z,2012-09-14T14:00:00.000Z,,2012-09-14T05:00:00.000Z,IT,LOM,00:12:0E:33:E4:00,?,45.46654129,Via Broletto
,3,20170217-00000,Milano,daniela,wep,Y,0,?,infra,11,9.22008228,?,False,1,2017-06-04T14:00:00.000Z,2017-02-17T12:00:00.000Z,,2017-06-04T14:00:00.000Z,IT,LOM,00:12:0E:33:F0:72,?,45.49085236,Via Termopili
,0,20090227-00000,,AltesysWLAN,none,N,0,?,,11,9.12991047,?,False,,2009-02-27T05:00:00.000Z,2001-01-01T00:00:00.000Z,,2009-02-27T03:00:00.000Z,IT,LOM,00:12:B3:03:00:60,?,45.40288544,SP184
,0,20050628-00000,Milano,belkin54g,wep,Y,0,?,????,11,9.16365814,?,False,,2005-10-06T01:00:00.000Z,2005-06-28T11:00:00.000Z,,2005-10-05T23:00:00.000Z,IT,LOM,00:12:BF:00:54:A3,?,45.49716187,Piazzale Lugano
,0,20100201-00000,Milano,802.11SSID,unknown,?,0,?,,6,9.18689823,?,False,3,2010-02-01T13:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-09-15T08:00:00.000Z,IT,LOM,00:12:0E:2C:A7:0F,?,45.45185852,Piazzale di Porta Lodovica
,0,20120428-00000,Milano,philips,wpa,W,0,?,infra,4,9.23659515,?,False,,2012-04-28T15:00:00.000Z,2012-04-27T18:00:00.000Z,,2012-04-28T13:00:00.000Z,IT,LOM,00:12:BF:2F:3A:2C,?,45.49755478,Via Oropa
,0,20050909-00000,Milano,default,none,N,0,?,,6,9.19866943,?,False,18,2005-09-09T10:00:00.000Z,2001-01-01T00:00:00.000Z,,2005-09-09T08:00:00.000Z,IT,LOM,00:11:95:8E:B5:DE,?,45.4785347,Piazza della Repubblica
,4,20141112-00000,,AirAmb_New,wpa,W,0,?,infra,5,9.26103783,?,False,,2015-03-26T01:00:00.000Z,2014-11-04T13:00:00.000Z,,2015-03-25T23:00:00.000Z,IT,LOM,00:11:95:8E:E5:58,?,45.52047348,Tangenziale Est
,0,20100430-00000,Milano,phmamilano,wep,Y,0,?,,13,9.20962811,?,False,30,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:11:95:7F:E0:9E,?,45.47885513,Corso Buenos Aires
,0,20130129-00000,Milano,Soluff_network,wpa,W,0,?,infra,6,9.20112801,?,False,132,2013-01-29T05:00:00.000Z,2013-01-29T12:00:00.000Z,,2013-01-29T03:00:00.000Z,IT,LOM,00:12:0E:1F:30:98,?,45.45280457,Corso di Porta Romana
,0,20160105-00000,,ROCKI_AB177A,wep,Y,0,?,infra,6,9.06376648,?,False,2/A,2016-01-05T06:00:00.000Z,2016-01-05T08:00:00.000Z,,2016-01-05T06:00:00.000Z,IT,LOM,00:11:7F:AB:17:7A,?,45.4270134,Via D'Azeglio
,0,20150321-00000,Milano,Wifi_Guest_Ris,wpa,W,0,?,infra,11,9.25795364,?,False,,2015-03-22T01:00:00.000Z,2015-03-21T18:00:00.000Z,,2015-03-22T00:00:00.000Z,IT,LOM,00:0F:F7:EB:52:F2,?,45.44397736,Tangenziale Est
,0,20100430-00000,Milano,SpeedTouch9FCC6A,wep,Y,0,?,,6,9.22247505,?,False,14,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:11:F5:04:1B:18,?,45.49248886,Via Giuseppe Giacosa
,7,20080906-00000,,torreh3g-1,wpa,W,0,?,infra,136,9.21448994,?,False,6,2016-01-15T02:00:00.000Z,2001-01-01T00:00:00.000Z,,2016-01-15T02:00:00.000Z,IT,LOM,00:12:BF:23:70:F1,?,45.38320541,via Emilio Segré
,0,20100430-00000,Milano,levallimarine 2.0,wep,Y,0,?,,10,9.15140247,?,False,29,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:12:BF:26:98:4E,?,45.49002457,Viale Certosa
,0,20130717-00000,Milano,TecnospallaBob,wpa,W,0,?,infra,6,9.17819595,?,False,,2013-07-17T17:00:00.000Z,2013-07-17T19:00:00.000Z,,2013-07-17T15:00:00.000Z,IT,LOM,00:12:BF:26:9E:A5,?,45.44564819,Via Evangelista Torricelli
,0,20120311-00000,Milano,Gio_Wifi,wpa,W,0,?,infra,10,9.16368103,?,False,4,2012-03-11T18:00:00.000Z,2012-03-11T23:00:00.000Z,,2012-03-11T16:00:00.000Z,IT,LOM,00:11:50:D2:38:3A,?,45.46768951,Via Giovanni Rasori
,0,20120813-00000,Milano,belkin54g,wpa,W,0,?,infra,11,9.18410873,?,False,7,2012-08-13T00:00:00.000Z,2012-08-13T07:00:00.000Z,,2012-08-12T22:00:00.000Z,IT,LOM,00:11:50:D2:44:C5,?,45.45970154,Via Santa Maria Valle
,0,20151006-00000,Milano,belkin54g,unknown,?,0,?,infra,11,9.2325449,?,False,,2015-10-06T23:00:00.000Z,2015-10-07T08:00:00.000Z,,2015-10-06T23:00:00.000Z,IT,LOM,00:11:50:D2:6E:9F,?,45.4618187,Via Padre Massimiliano Kolbe
,0,20121106-00000,Milano,lumao,wpa,W,0,?,infra,3,9.1701231,?,False,33,2012-11-06T19:00:00.000Z,2012-11-07T02:00:00.000Z,,2012-11-06T17:00:00.000Z,IT,LOM,00:11:50:D2:7B:8A,?,45.48577118,Via Monviso
,2,20130825-00000,Milano,WifiHotelCavour,none,N,0,?,infra,3,9.19449711,?,False,21,2013-10-03T11:00:00.000Z,2013-08-25T21:00:00.000Z,,2013-10-03T09:00:00.000Z,IT,LOM,00:11:A3:1B:DF:08,?,45.47257614,Via Fatebenefratelli
,0,20110604-00000,Milano,,unknown,?,0,?,,0,9.10551453,?,False,,2011-06-04T07:00:00.000Z,2010-10-07T02:00:00.000Z,,2011-06-04T05:00:00.000Z,IT,LOM,00:11:B5:E7:06:81,?,45.45975876,Via delle Forze Armate
,7,20120208-00000,Milano,WEBLAN2,wep,Y,0,?,infra,11,9.16141224,?,False,,2014-11-20T00:00:00.000Z,2012-02-09T09:00:00.000Z,,2014-11-19T22:00:00.000Z,IT,LOM,00:11:50:5A:83:8D,?,45.46850204,Via Mario Pagano
,2,20100826-00000,Milano,Belkin54g,none,N,0,?,infra,11,9.16534138,?,False,,2012-02-12T11:00:00.000Z,2010-08-26T07:00:00.000Z,,2012-02-12T09:00:00.000Z,IT,LOM,00:11:50:86:5D:EE,?,45.44971085,Ripa di Porta Ticinese
,0,20140619-00000,,Belkin54g,wpa2,2,0,?,infra,6,9.2869091,?,False,,2014-06-19T15:00:00.000Z,2014-06-19T18:00:00.000Z,,2014-06-19T13:00:00.000Z,IT,LOM,00:11:50:86:67:57,?,45.39561844,Via Filippo Turati
,0,20080202-00000,Milano,Belkin54g,none,N,0,?,,6,9.12161064,?,False,,2008-02-02T03:00:00.000Z,2001-01-01T00:00:00.000Z,,2008-02-02T01:00:00.000Z,IT,LOM,00:11:50:86:7E:58,?,45.44182205,Via Francesco Gonin
,1,20130129-00000,Milano,spartacus,wpa2,2,0,?,infra,9,9.21062946,?,False,,2015-08-15T23:00:00.000Z,2013-01-29T10:00:00.000Z,,2015-08-15T23:00:00.000Z,IT,LOM,00:11:50:86:7E:CA,?,45.45853043,Via Spartaco
,0,20150508-00000,Milano,Belkin54g,wpa2,2,0,?,infra,11,9.15813541,?,False,,2015-05-09T02:00:00.000Z,2015-05-08T21:00:00.000Z,,2015-06-14T13:00:00.000Z,IT,LOM,00:11:50:86:82:93,?,45.48558807,Via Emanuele Filiberto
,5,20140623-00000,Milano,Belkin54g,wpa2,2,0,?,infra,11,9.17627811,?,False,13,2017-10-12T15:00:00.000Z,2014-06-23T15:00:00.000Z,,2017-10-12T15:00:00.000Z,IT,LOM,00:11:50:87:8A:F9,?,45.43777847,Piazza Francesco Carrara
,0,20080130-00000,,Casa,none,N,0,?,,11,9.09434891,?,False,6,2008-01-30T15:00:00.000Z,2001-01-01T00:00:00.000Z,,2008-01-30T13:00:00.000Z,IT,LOM,00:11:50:87:8D:1B,?,45.43480301,Via Benvenuto Cellini
,1,20121209-00000,,Belkin54g,wpa2,2,0,?,infra,6,9.09929943,?,False,3,2013-05-13T00:00:00.000Z,2012-12-09T17:00:00.000Z,,2013-05-12T22:00:00.000Z,IT,LOM,00:11:50:87:8E:44,?,45.43987274,Via Italia
,0,20121207-00000,,Belkin54g,none,N,0,?,infra,6,9.11707306,?,False,,2012-12-07T07:00:00.000Z,2012-12-07T14:00:00.000Z,,2012-12-07T05:00:00.000Z,IT,LOM,00:11:50:87:90:69,?,45.43486786,Via Filippo Turati
,0,20151124-00000,Milano,Belkin54g,unknown,?,0,?,infra,11,9.20204926,?,False,,2015-11-24T01:00:00.000Z,2015-11-24T09:00:00.000Z,,2015-11-24T01:00:00.000Z,IT,LOM,00:11:50:87:91:B0,?,45.50378799,Via privata Padre Reginaldo Giuliani
,0,20080202-00000,,Belkin54g,wep,Y,0,?,,11,9.18662643,?,False,,2008-02-02T03:00:00.000Z,2001-01-01T00:00:00.000Z,,2008-02-02T01:00:00.000Z,IT,LOM,00:11:50:87:A2:00,?,45.37472534,Via Bruno Buozzi
,3,20120422-00000,Milano,Belkin54gMRR,none,N,0,?,infra,0,9.16002083,?,False,,2013-03-12T19:00:00.000Z,2012-04-22T23:00:00.000Z,,2013-03-12T17:00:00.000Z,IT,LOM,00:11:50:87:A6:77,?,45.46829987,Via del Burchiello
,0,20100430-00000,Milano,house15,none,N,0,?,,6,9.1486187,?,False,,2010-04-30T12:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-04-30T10:00:00.000Z,IT,LOM,00:11:50:81:7A:B6,?,45.4882164,Viale Renato Serra
,2,20151003-00000,Milano,Belkin54g,wpa2,2,0,?,infra,11,9.23639774,?,False,,2017-07-03T13:00:00.000Z,2015-10-03T14:00:00.000Z,,2017-07-03T13:00:00.000Z,IT,LOM,00:11:50:81:86:74,?,45.50806808,Via Ponte Nuovo
,5,20120315-00000,,vgr,wep,Y,0,?,infra,11,9.27552891,?,False,,2012-10-31T12:00:00.000Z,2012-03-15T17:00:00.000Z,,2012-10-31T10:00:00.000Z,IT,LOM,00:11:50:81:95:A4,?,45.52370834,Via Trento
,0,20100201-00000,Milano,CPLUSMNET,unknown,?,0,?,,7,9.20879459,?,False,14,2010-02-01T13:00:00.000Z,2001-01-01T00:00:00.000Z,,2010-09-15T08:00:00.000Z,IT,LOM,00:11:50:81:A6:60,?,45.45669556,Via Bergamo
,0,20050914-00000,Milano,wlanap1,wep,Y,0,?,,11,9.23850155,?,False,,2006-06-23T05:00:00.000Z,2001-01-01T00:00:00.000Z,,2006-06-23T03:00:00.000Z,IT,LOM,00:12:17:07:AA:33,?,45.48206711,Viale delle Rimembranze di Lambrate
,1,20120819-00000,Milano,Albertocom,none,N,0,?,infra,0,9.15066051,?,False,,2013-03-16T01:00:00.000Z,2012-08-17T06:00:00.000Z,,2013-03-15T23:00:00.000Z,IT,LOM,00:11:50:82:74:26,?,45.46886826,Via Carlo Ravizza
,2,20120621-00000,Milano,PJM-wifi,wep,Y,0,?,infra,6,9.15734482,?,False,,2013-02-12T03:00:00.000Z,2012-06-21T22:00:00.000Z,,2013-02-12T01:00:00.000Z,IT,LOM,00:11:50:82:86:CA,?,45.48034668,Viale Duilio
